CUST1075,Smartphone,Groceries,436,1/1/2024,Credit Card
CUST5081,Smartphone,Toys,1719,1/1/2024,Bank Transfer
CUST9270,Gaming Console,Automotive,954,1/1/2024,Bank Transfer
CUST6677,Smartphone,Groceries,590,1/1/2024,Cash on Delivery
CUST7921,Laptop,Books,806,1/1/2024,Bank Transfer
CUST8482,Gaming Console,Furniture,150,1/1/2024,Cash on Delivery
CUST4701,Gaming Console,Automotive,233,31/12/2023,Cash on Delivery
CUST4504,Camera,Automotive,637,31/12/2023,PayPal
CUST7444,Smartphone,Home Appliances,847,31/12/2023,Credit Card
CUST2726,Gaming Console,Home Appliances,1544,31/12/2023,Credit Card
CUST4014,Headphones,Automotive,1550,31/12/2023,Bank Transfer
CUST9412,Camera,Groceries,1386,31/12/2023,Debit Card
CUST6440,Gaming Console,Home Appliances,220,31/12/2023,Cash on Delivery
CUST1759,Smartwatch,Automotive,1978,31/12/2023,Debit Card
CUST5361,Laptop,Automotive,1909,31/12/2023,Credit Card
CUST8554,Smartphone,Furniture,303,31/12/2023,PayPal
CUST9382,Smartwatch,Beauty,150,30/12/2023,Cash on Delivery
CUST2926,Tablet,Home Appliances,461,30/12/2023,Credit Card
CUST5733,Mouse,Groceries,516,29/12/2023,Cash on Delivery
CUST4844,Keyboard,Sports,1641,29/12/2023,Debit Card
CUST3878,Smartphone,Electronics,232,29/12/2023,Debit Card
CUST1260,Laptop,Groceries,1125,28/12/2023,Debit Card
CUST8052,Keyboard,Groceries,1441,28/12/2023,Cash on Delivery
CUST4563,Smartwatch,Furniture,90,28/12/2023,Credit Card
CUST2286,Laptop,Automotive,926,28/12/2023,Cash on Delivery
CUST1638,Mouse,Electronics,532,28/12/2023,Bank Transfer
CUST4690,Laptop,Beauty,372,28/12/2023,Credit Card
CUST1657,Camera,Books,1243,28/12/2023,Cash on Delivery
CUST5426,Mouse,Beauty,1701,27/12/2023,Credit Card
CUST7686,Camera,Automotive,1871,27/12/2023,PayPal
CUST8548,Mouse,Beauty,1889,27/12/2023,Bank Transfer
CUST8912,Tablet,Beauty,1271,27/12/2023,Bank Transfer
CUST5397,Laptop,Automotive,1007,27/12/2023,Debit Card
CUST1578,Keyboard,Groceries,1480,27/12/2023,Bank Transfer
CUST3988,Smartwatch,Fashion,13,27/12/2023,Cash on Delivery
CUST8727,Mouse,Electronics,1641,26/12/2023,Bank Transfer
CUST9033,Gaming Console,Sports,550,26/12/2023,Cash on Delivery
CUST4769,Headphones,Furniture,598,26/12/2023,Debit Card
CUST1059,Monitor,Electronics,1480,26/12/2023,Cash on Delivery
CUST4075,Smartphone,Automotive,744,26/12/2023,Debit Card
CUST3550,Smartwatch,Beauty,1738,26/12/2023,Credit Card
CUST7709,Gaming Console,Books,839,25/12/2023,Bank Transfer
CUST2131,Headphones,Home Appliances,592,25/12/2023,Debit Card
CUST4220,Laptop,Home Appliances,649,25/12/2023,Cash on Delivery
CUST7043,Mouse,Toys,1310,24/12/2023,PayPal
CUST4925,Laptop,Toys,224,24/12/2023,Debit Card
CUST3973,Smartwatch,Sports,670,24/12/2023,PayPal
CUST8760,Camera,Groceries,852,23/12/2023,PayPal
CUST1690,Smartphone,Fashion,1677,23/12/2023,Bank Transfer
CUST6518,Tablet,Fashion,1991,23/12/2023,Bank Transfer
CUST8157,Headphones,Groceries,280,23/12/2023,Cash on Delivery
CUST4351,Headphones,Beauty,1169,22/12/2023,Credit Card
CUST7102,Mouse,Books,243,22/12/2023,Debit Card
CUST5419,Headphones,Fashion,1803,22/12/2023,Debit Card
CUST5266,Headphones,Beauty,567,22/12/2023,Credit Card
CUST8601,Headphones,Toys,318,22/12/2023,Bank Transfer
CUST7031,Keyboard,Furniture,1415,22/12/2023,Cash on Delivery
CUST7853,Smartphone,Furniture,1054,21/12/2023,Credit Card
CUST8858,Headphones,Beauty,1290,21/12/2023,Credit Card
CUST5013,Keyboard,Toys,1876,21/12/2023,Bank Transfer
CUST9652,Smartwatch,Toys,1369,20/12/2023,Bank Transfer
CUST4867,Gaming Console,Books,431,20/12/2023,Debit Card
CUST9744,Smartwatch,Home Appliances,400,20/12/2023,PayPal
CUST5169,Smartphone,Electronics,1942,20/12/2023,Credit Card
CUST3574,Gaming Console,Home Appliances,593,20/12/2023,Debit Card
CUST9314,Keyboard,Sports,308,20/12/2023,Bank Transfer
CUST6627,Headphones,Groceries,796,20/12/2023,Bank Transfer
CUST6323,Smartphone,Home Appliances,1952,19/12/2023,Bank Transfer
CUST7872,Laptop,Books,1730,19/12/2023,Cash on Delivery
CUST5697,Laptop,Fashion,1859,19/12/2023,Credit Card
CUST9202,Keyboard,Automotive,1923,19/12/2023,Credit Card
CUST9412,Laptop,Sports,1291,18/12/2023,Cash on Delivery
CUST7613,Smartwatch,Beauty,233,18/12/2023,Debit Card
CUST1561,Mouse,Electronics,1068,18/12/2023,Cash on Delivery
CUST5153,Mouse,Home Appliances,1968,18/12/2023,Bank Transfer
CUST7288,Smartwatch,Books,90,18/12/2023,Credit Card
CUST1165,Headphones,Toys,768,18/12/2023,Credit Card
CUST6594,Headphones,Toys,1985,18/12/2023,Debit Card
CUST3645,Tablet,Sports,188,17/12/2023,Cash on Delivery
CUST4990,Gaming Console,Books,1520,17/12/2023,PayPal
CUST9594,Mouse,Fashion,300,17/12/2023,Debit Card
CUST2069,Gaming Console,Furniture,133,17/12/2023,Bank Transfer
CUST8089,Mouse,Beauty,1338,17/12/2023,Cash on Delivery
CUST9696,Smartwatch,Automotive,571,17/12/2023,Credit Card
CUST2979,Headphones,Furniture,559,16/12/2023,Debit Card
CUST1648,Keyboard,Fashion,1101,16/12/2023,Credit Card
CUST5624,Smartphone,Books,253,16/12/2023,Credit Card
CUST5142,Tablet,Toys,1702,16/12/2023,Credit Card
CUST1169,Gaming Console,Automotive,1868,16/12/2023,Cash on Delivery
CUST7539,Headphones,Fashion,1778,15/12/2023,Debit Card
CUST3031,Tablet,Automotive,977,15/12/2023,Credit Card
CUST1045,Tablet,Fashion,941,14/12/2023,PayPal
CUST6188,Tablet,Groceries,584,14/12/2023,Cash on Delivery
CUST6577,Smartphone,Automotive,462,14/12/2023,Cash on Delivery
CUST3993,Smartphone,Beauty,1522,14/12/2023,Debit Card
CUST2546,Smartphone,Beauty,138,13/12/2023,Bank Transfer
CUST5787,Mouse,Toys,1259,13/12/2023,Cash on Delivery
CUST4095,Laptop,Electronics,807,13/12/2023,Bank Transfer
CUST9134,Tablet,Electronics,1938,13/12/2023,Bank Transfer
CUST5315,Smartwatch,Beauty,1103,13/12/2023,Bank Transfer
CUST5419,Headphones,Beauty,1924,12/12/2023,Credit Card
CUST4605,Smartphone,Groceries,1310,12/12/2023,Credit Card
CUST7859,Tablet,Groceries,406,12/12/2023,PayPal
CUST4658,Smartphone,Beauty,1903,12/12/2023,Debit Card
CUST6434,Gaming Console,Electronics,1828,12/12/2023,PayPal
CUST3671,Laptop,Home Appliances,51,12/12/2023,Debit Card
CUST8145,Laptop,Automotive,571,12/12/2023,Cash on Delivery
CUST5329,Headphones,Beauty,1453,12/12/2023,Debit Card
CUST1024,Mouse,Furniture,86,12/12/2023,Bank Transfer
CUST9011,Mouse,Sports,1651,11/12/2023,Debit Card
CUST9252,Headphones,Groceries,727,11/12/2023,Credit Card
CUST8614,Keyboard,Sports,1273,11/12/2023,Debit Card
CUST1072,Laptop,Toys,535,11/12/2023,Debit Card
CUST2729,Gaming Console,Furniture,107,11/12/2023,Credit Card
CUST6363,Camera,Electronics,1642,11/12/2023,Credit Card
CUST1891,Laptop,Books,224,11/12/2023,Bank Transfer
CUST4071,Gaming Console,Toys,140,11/12/2023,Bank Transfer
CUST9898,Headphones,Fashion,1919,11/12/2023,Credit Card
CUST7895,Laptop,Automotive,1596,11/12/2023,Credit Card
CUST2071,Headphones,Beauty,1922,10/12/2023,Credit Card
CUST2088,Tablet,Home Appliances,1269,10/12/2023,Debit Card
CUST1634,Tablet,Automotive,1921,10/12/2023,Credit Card
CUST1435,Gaming Console,Beauty,179,10/12/2023,PayPal
CUST5078,Laptop,Automotive,415,10/12/2023,Bank Transfer
CUST5465,Tablet,Electronics,1720,9/12/2023,Credit Card
CUST9553,Keyboard,Sports,1519,9/12/2023,Cash on Delivery
CUST7600,Headphones,Books,1989,8/12/2023,Debit Card
CUST2591,Laptop,Sports,1596,8/12/2023,Cash on Delivery
CUST7428,Keyboard,Home Appliances,832,8/12/2023,Bank Transfer
CUST4760,Laptop,Electronics,498,8/12/2023,Cash on Delivery
CUST3843,Mouse,Sports,274,8/12/2023,Credit Card
CUST9031,Monitor,Fashion,1806,8/12/2023,Cash on Delivery
